 variables=x,y,rho,u,v
 zone i=          100  j=          100
  0.959999979       0.00000000       1.00000000       0.00000000       0.00000000    
  0.969999969       0.00000000       1.00000000       0.00000000       0.00000000    
  0.979999959       0.00000000       1.00000000       0.00000000       0.00000000    
  0.989999950       0.00000000       1.00000000       0.00000000       0.00000000    
   0.00000000       9.99999978E-03   1.00000000       0.00000000       0.00000000    
   9.99999978E-03   9.99999978E-03  0.989759088       1.90638264E-06  -9.29667351E-07
   1.99999996E-02   9.99999978E-03  0.989757836       4.71232806E-06  -1.08774975E-06
   2.99999993E-02   9.99999978E-03  0.989754796       7.30375450E-06  -7.03840271E-07
   3.99999991E-02   9.99999978E-03  0.989750087       8.87144051E-06   1.39263179E-07
   4.99999970E-02   9.99999978E-03  0.989743829       8.92419121E-06   1.20820982E-06
   5.99999987E-02   9.99999978E-03  0.989736617       7.18344290E-06   2.45031242E-06
   7.00000003E-02   9.99999978E-03  0.989728272       3.47224636E-06   3.74136880E-06
   7.99999982E-02   9.99999978E-03  0.989719689      -2.26027305E-06   5.02868443E-06
   8.99999961E-02   9.99999978E-03  0.989710331      -9.94642505E-06   6.33108311E-06
   9.99999940E-02   9.99999978E-03  0.989701152      -1.95994380E-05   7.55822384E-06
  0.109999999       9.99999978E-03  0.989691913      -3.10424584E-05   8.68563984E-06
  0.119999997       9.99999978E-03  0.989682913      -4.42454075E-05   9.76978663E-06
  0.129999995       9.99999978E-03  0.989674389      -5.90219897E-05   1.07636088E-05
  0.140000001       9.99999978E-03  0.989666402      -7.52536434E-05   1.16840392E-05
  0.149999991       9.99999978E-03  0.989658892      -9.28142836E-05   1.24670851E-05
  0.159999996       9.99999978E-03  0.989652216      -1.11515663E-04   1.31936677E-05
  0.170000002       9.99999978E-03  0.989646375      -1.31327644E-04   1.38092028E-05
  0.179999992       9.99999978E-03  0.989641190      -1.52046952E-04   1.43419211E-05
  0.189999998       9.99999978E-03  0.989637077      -1.73547378E-04   1.47918145E-05
